address,size,proposed_name,owner,used_by,structure_guess,confidence,notes
0x005d7948,float,g_overlay_jitter_y,draw_jittered_overlay_quad,all scene families,scalar,high,Pseudo-random Y coordinate for the helper's small overlay quad. Reseeded from lcg_rand15 when (g_overlay_call_counter & reseed_mask) == 0.
0x005d7950,768 bytes,tube_ring_vertices_neg_z,draw_cached_tube_shell,render_scene_kaar_family;render_scene_surf_family,64 * vec3,high,Cached ring vertices for the z=-70 end of the tube shell.
0x005d7c50,768 bytes,tube_ring_vertices_pos_z,draw_cached_tube_shell,render_scene_kaar_family;render_scene_surf_family,64 * vec3,high,Cached ring vertices for the z=+70 end of the tube shell.
0x005d7f50,float,g_overlay_jitter_x,draw_jittered_overlay_quad,all scene families,scalar,high,"Pseudo-random X coordinate for the helper's small overlay quad. Surf passes a reseed mask of 0, so it reseeds every call."
0x005d7f54,dword,g_overlay_call_counter,draw_jittered_overlay_quad,all scene families,scalar,high,Incremented on every helper call and tested against the caller-provided reseed mask before the next random offset refresh.
0x005d7f58,dword,g_tube_shell_cache_valid,draw_cached_tube_shell,render_scene_kaar_family;render_scene_surf_family,scalar,high,One-time cache guard for the two 64-vertex tube-shell rings.
0x005d1778,8000 bytes,fla_particle_velocity_block,render_scene_fla_particle_family;load_fla_texture_group,render_scene_fla_particle_family,500 * struct { float unused0; float vel_x; float vel_y; float vel_z; },medium,"Parallel particle block zeroed by the loader and updated every frame. Respawn path seeds vel_x in roughly [-0.35, +0.35], vel_y in [0.7, 1.0], vel_z = 0."
0x005d36b8,8000 bytes,fla_particle_accel_block,render_scene_fla_particle_family;load_fla_texture_group,render_scene_fla_particle_family,500 * struct { float unused0; float accel_x; float accel_y; float accel_z; },medium,"Parallel particle block zeroed by the loader. Current respawn path seeds accel_x = 0, accel_y in roughly [-0.16, -0.01], accel_z = 0."
0x005d55f8,8000 bytes,fla_particle_energy_position_block,render_scene_fla_particle_family;load_fla_texture_group,render_scene_fla_particle_family,500 * struct { float brightness; float pos_x; float pos_y; float pos_z; },medium,Parallel particle block zeroed by the loader. Brightness decays by 0.9 each update; dead particles are respawned with random brightness and their position reset to the origin. pos_z is integrated but not consumed by the current draw loop.
0x005d753c,dword,g_fla_texture_group_loaded,load_fla_texture_group,render_scene_fla_particle_family,scalar,high,One-time initialization guard for the fla texture uploads and particle-buffer reset.
